author,title,description,source_name,source_id,Sentiment,Topics
"Nick Gilbertson, Nick Gilbertson",Donald Trump Names Steven Cheung and Sergio Gor to Key White House Roles,"President-elect Donald Trump announced Friday that two trusted advisers, Steven Cheung and Sergio Gor, will join his administration.
The post Donald Trump Names Steven Cheung and Sergio Gor to Key White House Roles appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Kristina Wong, Kristina Wong",Report: President-Elect Donald Trump Considering Marco Rubio as Secretary of State,"President-elect Donald Trump is considering tapping Sen. Marco Rubio (R-FL) as secretary of state, according to the New York Times.
The post Report: President-Elect Donald Trump Considering Marco Rubio as Secretary of State appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Elizabeth Weibel, Elizabeth Weibel",President-Elect Donald Trump Picks Businessman Steven Witkoff to Be Special Envoy to Middle East,"President-elect Donald Trump announced that he has picked businessman and real estate investor Steven Witkoff to serve as Special Envoy to the Middle East.
The post President-Elect Donald Trump Picks Businessman Steven Witkoff to Be Special Envoy to Middle Ea…",Breitbart News,breitbart-news,Positive,
"Elizabeth Weibel, Elizabeth Weibel","Donald Trump Selects Elon Musk, Vivek Ramaswamy to 'Lead the Department of Government Efficiency'","President-elect Donald Trump announced he has picked Tesla CEO and X owner Elon Musk and entrepreneur and former Republican presidential candidate Vivek Ramaswamy to ""lead the Department of Government Efficiency.""
The post Donald Trump Selects Elon Musk, Vive…",Breitbart News,breitbart-news,Neutral,Politics and Governance
"Kristina Wong, Kristina Wong",President-Elect Donald Trump Names Former Rep. John Ratcliffe as CIA Director,"President-elect Donald Trump on Wednesday announced that former Rep. John Ratcliffe (R-TX) will serve as his director of the Central Intelligence Agency (CIA).
The post President-Elect Donald Trump Names Former Rep. John Ratcliffe as CIA Director appeared fir…",Breitbart News,breitbart-news,Neutral,
"Elizabeth Weibel, Elizabeth Weibel",President-Elect Donald Trump Picks William McGinley to Serve as White House Counsel,"President-elect Donald Trump revealed on Tuesday evening that he had chosen William McGinley to serve as his White House Counsel.
The post President-Elect Donald Trump Picks William McGinley to Serve as White House Counsel appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Frances Martel, Frances Martel",South Korean President Taking Golf Lessons to Play with Donald Trump,"The office of the president of South Korea, Yoon Suk-yeol, confirmed to reporters on Monday that Yoon has begun practicing his golf game.
The post South Korean President Taking Golf Lessons to Play with Donald Trump appeared first on Breitbart.",Breitbart News,breitbart-news,Positive,
"Simon Kent, Simon Kent",Al Gore Defiant: Climate Doomer Agenda Will Triumph 'Despite' Donald Trump,"Former U.S. Vice President Al Gore believes a second Donald Trump term in the White House will have little to no impact on the “momentum” of the climate doom agenda and it will roll on ""despite"" him.
The post Al Gore Defiant: Climate Doomer Agenda Will Triump…",Breitbart News,breitbart-news,Negative,
"Paul Bois, Paul Bois",Packers Legend Brett Favre Backs Trump at Wisconsin Rally: 'Time to Bench Kamala and Put in the Starting Quarterback: Donald Trump!',"Super Bowl champion Brett Favre, the former star quarterback for the Green Bay Packers, endorsed former President Trump at a rally.
The post Packers Legend Brett Favre Backs Trump at Wisconsin Rally: ‘Time to Bench Kamala and Put in the Starting Quarterback: …",Breitbart News,breitbart-news,Positive,
"Amy Furr, Amy Furr",WaPo: Kamala Harris's Coverup of Joe Biden's Decline Is Part of Why Democrats Lost to Donald Trump,"The left-wing Washington Post is laying blame at the feet of Vice President Kamala Harris for the defeat President-elect Donald Trump delivered to Democrats on Tuesday.
The post WaPo: Kamala Harris’s Coverup of Joe Biden’s Decline Is Part of Why Democrats Los…",Breitbart News,breitbart-news,Neutral,
Ryan Teague Beckwith,Donald Trump wants to repeal the 20th century in America,Trump's Make America Great Again promise is a thinly veiled threat,MSNBC,msnbc,Positive,
Jarvis DeBerry,You can’t believe Donald Trump will ‘Make America Healthy Again’,"Donald Trump joining forces with Robert F. Kennedy Jr., who disparages vaccines, is a promise to keep inflicting harm upon the public’s health.",MSNBC,msnbc,Neutral,Public Health
Steve Benen,What a Republican Senate takeover will mean for Donald Trump,"The Republican Party's takeover of the Senate will help Donald Trump in profound ways, some of which might not be immediately obvious.",MSNBC,msnbc,Positive,Politics and Governance
MSNBC,Lawrence: Elon Musk suffered a humiliating demotion by Donald Trump,"MSNBC’s Lawrence O’Donnell explains why Elon Musk will be the first person kicked out of the Trump administration when the position Musk and his Trump assigned partner, Vivek Ramaswamy, were given does not exist and will end in 18 months. The rest of Donald T…",MSNBC,msnbc,Positive,Legal Issues
President Bill Clinton,What I learned about Donald Trump and democracy on January 6,"This is an exclusive excerpt from ""Citizen: My Life After the White House:"" Donald Trump didn’t invent this capacity, but it was a parade he was glad to lead.",MSNBC,msnbc,Positive,
Simon Samano,"Dana White goes full MAGA during Donald Trump victory speech, thanks 'mighty and powerful Joe Rogan'","Unsurprisingly, UFC CEO Dana White reveled in Donald Trump's election win as he addressed the crowd at Mar-a-Lago.",USA Today,usa-today,Positive,Elections and Campaigns
Simon Samano,Will Donald Trump attend UFC 309? Fighters expect President-elect to be there,"It's become a sort of tradition for Donald Trump to attend the biggest of UFC events, but will that be the case for UFC 309?",USA Today,usa-today,Neutral,
Brian Bennett,Donald Trump Wins 2024 Election,"Donald Trump has won the 2024 election and will be President for a second time, according to the Associated Press.",Time,time,Neutral,Elections and Campaigns
Associated Press,Podcaster Joe Rogan Endorses Donald Trump,The former President recently sat for a three-hour interview with the podcaster.,Time,time,Neutral,
Brian Bennett and Nik Popli,What a Donald Trump Win Would Mean For Immigration,"Trump's plans include mass deportations of millions of people, expanding the border wall and ending birthright citizenship",Time,time,Neutral,Immigration
ERIC TUCKER and LARRY NEUMEISTER / AP,FBI Thwarts Iranian Murder-for-Hire Plan Targeting Donald Trump,The Justice Department unsealed criminal charges Friday in a thwarted Iranian plot to kill Trump before this week's presidential election.,Time,time,Negative,Elections and Campaigns
Rebecca Schneid,Kamala Harris Aims Jibe at Donald Trump During Surprise SNL Appearance,"Kamala Harris made a surprise appearance on ""Saturday Night Live"" where she tried to appeal to voters and jabbed at opponent Donald Trump.",Time,time,Positive,Elections and Campaigns
Gaby Del Valle,Donald Trump wins the 2024 presidential election,"Donald Trump has won the presidency, defeating Vice President Kamala Harris to become the 47th President of the United States.",The Verge,the-verge,Neutral,Elections and Campaigns
Billal Rahman,Buzz Aldrin Endorses Donald Trump,"The second person to walk on the moon endorsed Donald Trump's bid for the White House, in a blow for Vice President Kamala Harris.",Newsweek,newsweek,Neutral,
Natalie Venegas,Mary Trump Warns of 'Dangers' Ahead After Donald Trump Win,"""This is a blow. I can't sugar coat it. This was a tragic blow to the American experiment,"" Trump's estranged niece said.",Newsweek,newsweek,Negative,
Dan Gooding,Donald Trump Flips First Time Voters,The president-elect lost the demographic to both Hillary Clinton and Joe Biden but saw his luck shift in this year's vote.,Newsweek,newsweek,Neutral,Elections and Campaigns
https://www.facebook.com/jennifinkink/,"Donald Trump Wins Iowa, Networks project",A shocking Iowa poll showed Harris winning the state days before the election.,Newsweek,newsweek,Negative,Elections and Campaigns
Rachel Dobkin,Brian Cox Slams Donald Trump: 'Monster',"The actor said on a U.K. broadcast that Trump ""wants to be a dictator"" ahead of the Republican's 2024 U.S. presidential election win.",Newsweek,newsweek,Positive,Elections and Campaigns
Andrew Stanton,Here's Where Donald Trump Actually Underperformed,"Nearly the entire country shifted toward Trump this year, but there were some pockets where Kamala Harris outperformed Joe Biden.",Newsweek,newsweek,Positive,
Maya Mehrara,Zelensky Congratulates Donald Trump on 'Impressive' Victory,"""I appreciate President Trump's commitment to the 'peace through strength' approach in global affairs,"" wrote the Ukrainian president.",Newsweek,newsweek,Neutral,
Ryan Smith,Celebrities React As Donald Trump Declares Victory,"As Trump declared victory over Vice President Kamala Harris early Wednesday, a host of stars shared their widely differing reactions.",Newsweek,newsweek,Neutral,
,List of World Leaders Congratulating Donald Trump,The leaders of the UK and Israel were amongst the first to congratulate Donald Trump on becoming President.,Newsweek,newsweek,Positive,
Ewan Palmer,Donald Trump 'Squandering' Advantage: Election Forecaster,The team at Split Ticket said that Trump made errors and costly mistakes in the White House race after Harris became his opponent.,Newsweek,newsweek,Neutral,Elections and Campaigns
James Bickerton,Gavin Newsom Sends Donald Trump a Message,"The California governor described federalism as the ""cornerstone of our democracy"" in an X post reacting to Donald Trump's win.",Newsweek,newsweek,Positive,Politics and Governance
Billal Rahman,China Issues Warning to Donald Trump,This development marks the opening salvo in an escalating rivalry that has simmered since the trade war began under the Trump administration.,Newsweek,newsweek,Neutral,Economic Policies
Flynn Nicholls,Donald Trump Calls for NFL Rule Change,"The President-elect has said the new kickoff rule is ""ridiculous.""",Newsweek,newsweek,Negative,
Brendan Cole,Russian TV Keeps Goading Donald Trump,"The U.S. president-elect has been mocked on Russian state television by a presenter who described him with the diminutive ""Donya.""",Newsweek,newsweek,Neutral,
Kate Plummer,Donald Trump Jr.'s New Businesses Revealed,"Donald Trump's eldest son has set up two new businesses, one in September and one in November.",Newsweek,newsweek,Positive,
Kaitlin Lewis,Everything Donald Trump Has Said About Vaccines,The president-elect has given mixed messages about the safety of vaccines in the past.,Newsweek,newsweek,Negative,Public Health
Jesus Mesa,Donald Trump Makes New Cabinet Appointment,President-elect Trump has appointed former Congressman Lee Zeldin as the new administrator of the Environmental Protection Agency.,Newsweek,newsweek,Positive,Politics and Governance
Emma Marsden,Mark Cuban Reveals Exact Moment He Turned on Donald Trump,Mark Cuban spoke on a podcast recently about a pivotal moment for him regarding Donald Trump.,Newsweek,newsweek,Positive,
Martha McHardy,Puerto Ricans Could Harm Donald Trump in These Battleground States,Efforts are underway to mobilize Puerto Rican and Latino voters after Sunday's rally.,Newsweek,newsweek,Neutral,Elections and Campaigns
Flynn Nicholls,Joe Rogan Showed Donald Trump 'Unedited'. Millions Adored It,The former president's 3-hour discussion with Joe Rogan found an audience traditional news networks can only dream of.,Newsweek,newsweek,Neutral,
Aila Slisco,"Donald Trump Could Be His Own 'October Surprise,' Analysts Warn",Controversy over a racist joke made at Trump's Sunday rally in New York City has been escalating.,Newsweek,newsweek,Positive,
Michael Gfoeller and David H. Rundell,In a Dangerous World We Need Donald Trump | Opinion,"Nearly all of America's important diplomatic successes, including bringing the Cold War to a peaceful conclusion, have been enabled by a strong military.",Newsweek,newsweek,Positive,
Joe Edwards,Body Language Expert Says Donald Trump is 'Dejected and Apathetic',"""I think this campaign has really taken it out of him,"" said body language expert Darren Stanton.",Newsweek,newsweek,Positive,Elections and Campaigns
Kaitlin Lewis,Trump Suspect Ryan Routh Predicts Civil War if Donald Wins,"The letter, which was sent to The Palm Beach Post, was reportedly addressed from ""Trump Alleged Shooter Ryan W. Routh.""",Newsweek,newsweek,Negative,
,Donald Trump Is the Leader America Needs | Opinion,"As Americans, we are desperate for a leader we can trust. We are desperate for someone whose words are backed by action. Donald J. Trump has proven to be that leader.",Newsweek,newsweek,Negative,
https://www.facebook.com/AlexRouhandeh,"Donald Trump, Evangelicals and the 2024 MAGA Coalition","While Trump holds broad support among white evangelical Christians now, back in 2016, he was a very different candidate.",Newsweek,newsweek,Positive,
Flynn Nicholls,Donald Trump Says Puerto Rico Remarks Not a 'Big Deal',"""I can't imagine it's a big deal,"" the former president said of the comedian who called Puerto Rico ""garbage.""",Newsweek,newsweek,Neutral,
Flynn Nicholls,Donald Trump Flips Battleground State in Election Forecast Model,Fox News has shifted Arizona from tossup to lean-Republican in its latest electoral forecast.,Newsweek,newsweek,Positive,Elections and Campaigns
Natalie Venegas,Donald Trump Mocks Mitch McConnell's Endorsement: 'Painful Day',The current Senate minority leader has notably clashed with the former president following the 2020 election.,Newsweek,newsweek,Positive,"Elections and Campaigns, Politics and Governance"
Giulia Carbonaro,Donald Trump Makes Multiple Gaffes in Final Election Rally,"Kamala Harris accused her rival of making several gaffes during the rally in Grand Rapids, including calling her ""he"" and mistaking the city for Detroit.",Newsweek,newsweek,Positive,Elections and Campaigns
Sean O'Driscoll,Clarence Thomas Likely to Resign if Donald Trump Wins Election,"The long-serving justice will likely step down to let a younger conservative take his Supreme Court seat, legal experts believe.",Newsweek,newsweek,Positive,"Elections and Campaigns, Legal Issues"
James Bickerton,Mysterious Donald Trump Statues Sprout Up in US Cities,"Statues claiming to honor Republican presidential nominee Donald Trump for ""a lifetime of sexual assault"" have appeared in Portland and Philadelphia.",Newsweek,newsweek,Positive,
Mandy Taheri,Conservative Influencer Slams Donald Trump Supporters: 'It Is a Cult',Nick Fuentes is among several conservative influencers and activists who once supported Trump but are now refusing to endorse him.,Newsweek,newsweek,Neutral,
Khaleda Rahman,Michelle Obama Responds to 'Weak Man' Donald Trump,The former first lady responded to comments that Trump made about her at a rally in North Carolina on the eve of the election.,Newsweek,newsweek,Positive,Elections and Campaigns
Alia Shoaib,Mark Cuban Congratulates Donald Trump on Winning Election,"Mark Cuban said that Donald Trump won the election ""fair and square,"" and also congratulated Elon Musk.",Newsweek,newsweek,Positive,Elections and Campaigns
Jon Jackson,Donald Trump Announces His First White House Staff Appointment,The president-elect named his White House chief of staff on Thursday.,Newsweek,newsweek,Neutral,
Rachel Dobkin,What Did Joe Biden Say to Donald Trump?,President Biden on Thursday said he called President-elect Trump.,Newsweek,newsweek,Neutral,
Barney Henderson,What Did Vladimir Putin Say to Donald Trump?,Russian President Vladimir Putin has congratulated Donald Trump on his election victory.,Newsweek,newsweek,Neutral,Elections and Campaigns
Brendan Cole,Donald Trump Sees Ukraine as Europe's Problem: Ex-General,"Ben Hodges told Newsweek he is ""not hopeful"" that the president-elect can develop a good strategy to help Kyiv win.",Newsweek,newsweek,Positive,
Ryan Smith,Late-Night Talk Shows Distraught Over Donald Trump Win,"As Trump secured a second term in the White House, Jimmy Kimmel, Stephen Colbert, Seth Meyers, and Jimmy Fallon weighed in.",Newsweek,newsweek,Neutral,
Khaleda Rahman,Donald Trump Protests Break Out in Several Cities: 'Fascist Clown',"Protesters took to the streets of Chicago, New York and Philadelphia after Trump won a second term in the White House.",Newsweek,newsweek,Positive,
https://www.facebook.com/jennifinkink/,Who's Winning the Election? Kamala Harris vs. Donald Trump Updates,Kamala Harris and Donald Trump are racing to get 270 electoral votes and clinch the election.,Newsweek,newsweek,Neutral,Elections and Campaigns
Jordan King,MAGA Celebrates Donald Trump Win: 'Third Time's the Charm',Donald Trump has declared victory after flipping several swing states and MAGA supporters took to X to celebrate.,Newsweek,newsweek,Neutral,
Micah McCartney,US' Pacific Allies Brace for Return of Donald Trump,"Analysts say Trump's penchant for unilateralism could weaken the Biden administration's fledgling framework of alliances, and China stands to benefit.",Newsweek,newsweek,Neutral,
Aliss Higham,Joe Rogan Reacts to Donald Trump Winning Election,"Joe Rogen wrote ""WHOLE. LEE. S***"" to his millions of followers on X, formerly Twitter, in response to Donald Trump's projected election win.",Newsweek,newsweek,Positive,"Elections and Campaigns, Social Media and Influence"
Giulia Carbonaro,Donald Trump Shatters Records: Four Shock Results on Election Night,"The Republican candidate pulled a series of surprising victories in places which had for years been Democratic strongholds, flipping them red.",Newsweek,newsweek,Positive,Elections and Campaigns
Anna Skinner,Mary Trump Responds to Donald Trump's Election Win,"Mary Trump, the estranged niece of Donald Trump, took to social media with her thoughts early Wednesday morning.",Newsweek,newsweek,Positive,"Elections and Campaigns, Social Media and Influence"
Aron Solomon,Donald Trump Didn't Win. The Democrats Lost | Opinion,Anyone who thinks the Republicans just won the election and the Democrats didn't lose hasn't been paying attention.,Newsweek,newsweek,Neutral,Elections and Campaigns
Jon Jackson,Kamala Harris Tells Donald Trump There Will Be Peaceful Transition,Harris has told Trump there will be a peaceful transition of power to his administration.,Newsweek,newsweek,Positive,
Ewan Palmer,Six Voter Groups That Flocked to Donald Trump in 2024,CNN exit polling shows a number of places the Republican's numbers improved compared to 2020 election loss.,Newsweek,newsweek,Neutral,Elections and Campaigns
Flynn Nicholls,Donald Trump Ally Suggests Trying to Purchase Greenland Again,Trump tried to purchase the island from Denmark during his first term in office.,Newsweek,newsweek,Positive,
Aila Slisco,Steve Bannon Warns of Potential Third Donald Trump Impeachment,Trump is the only president in U.S. history to have been impeached twice by the House of Representatives.,Newsweek,newsweek,Neutral,
James Bickerton,How Donald Trump Outperformed Ted Cruz in Texas,"The Texas senator was reelected by a nine-point margin, compared to the president-elect's 14-point win in the Lone Star State.",Newsweek,newsweek,Positive,
Flynn Nicholls,'SNL' Weekend Update Mocks Democrats After Donald Trump Win,"""Saturday Night Live"" hosts went in at the losing Democratic Party in the latest episode.",Newsweek,newsweek,Positive,
Marni Rose McFall,Donald Trump Jr. Shares Video Mocking Zelensky: 'Losing Your Allowance',The video was posted to Instagram stories and mocked Ukraine's leader—president-elect Trump is critical of aid being given to Kyiv.,Newsweek,newsweek,Neutral,
Aliss Higham,Joe Rogan Addresses Claims YouTube Censoring Donald Trump Interview,The former president was interviewed by the podcast host in an episode released last week.,Newsweek,newsweek,Neutral,
Ewan Palmer,Donald Trump Corrected by Rally Crowd During Atlanta Speech,"The former president told a rally that ""we're close to World War II"" before thanking the audience for correcting him.",Newsweek,newsweek,Neutral,
Flynn Nicholls,Donald Trump Hits Back At 'Nasty' Michelle Obama: 'Big Mistake',"Trump said the former first lady was ""nasty"" to him when he was always ""nice and respectful"" to her.",Newsweek,newsweek,Positive,
Jesus Mesa,Republicans Disagree With Donald Trump on What's Top Election Issue,Trump's emphasis on border security contrasts with Republican voters' focus on the economy as their top election concern.,Newsweek,newsweek,Positive,"Elections and Campaigns, Economic Policies, Immigration"
Mandy Taheri,Donald Trump Gets Positive Sign in Critical Swing State Poll,"Former President Donald Trump leads in Michigan, the battleground state he won in 2016 but lost in 2020, according to a Washington Post poll.",Newsweek,newsweek,Neutral,
Khaleda Rahman,Donald Trump Faces Puerto Rican Fury in Pennsylvania,"A comedian's joke calling Puerto Rico ""a floating island of garbage"" at a Trump rally has outraged the swing state's Puerto Ricans.",Newsweek,newsweek,Negative,
Sean O'Driscoll,Eleventh Circuit Orders Election-Eve Deadline for Donald Trump,Trump's deadline for responding to an appeal in his classified documents case comes one day before the presidential election.,Newsweek,newsweek,Neutral,Elections and Campaigns
Alia Shoaib,Will Donald Trump Take Pennsylvania? What Recent Polls Suggest,Surveys from recent weeks show Donald Trump and Kamala Harris neck and neck in the critical battleground state.,Newsweek,newsweek,Neutral,
Hugh Cameron,Donald Trump is Like a 'Disturbed' Teenager: Admiral William McRaven,"The former president has ""consistently violated every principle of good leadership,"" according to the four-star admiral.",Newsweek,newsweek,Positive,
Sophie Clark,Donald Trump U-Turns on Biden Calling Supporters 'Garbage',"Donald Trump initially called for supporters to forgive Biden for his comments, but Trump is now on the offensive.",Newsweek,newsweek,Neutral,
,How to Deprogram the Cult of Donald Trump | Opinion,There have been a thousand warnings about former President Donald Trump. If polls are to be believed these warnings have fallen on deaf ears.,Newsweek,newsweek,Neutral,
Katherine Fung,Donald Trump Facing 'Red Flags' in State He Won Twice,A new analysis of early voting data shows that Democratic turnout is stronger in North Carolina counties impacted by Helene.,Newsweek,newsweek,Positive,
Alia Shoaib,Donald Trump Suggests His Father Is in Hell,"The Republican presidential candidate said at a rally in Georgia that his father was ""probably"" looking down.",Newsweek,newsweek,Negative,
Katherine Fung,What States Does Donald Trump Need to Win?,Can Trump win without Pennsylvania? Possibly. Here's how.,Newsweek,newsweek,Positive,
Emma Marsden,"Barron, Melania and Ivanka Join Donald Trump for Victory Speech",The former president's family rallied around him in a show of support as he declared victory in Florida.,Newsweek,newsweek,Neutral,
Katherine Fung,"America's Turning 250, and Donald Trump Is Throwing the Party",The president-elect will have a unique opportunity to showcase America to the world as the U.S. hosts major international events and celebrates its 250th birthday.,Newsweek,newsweek,Positive,
Gabe Whisnant,Conservative Texas Pastor Rebukes 'Habitually Lying' Donald Trump,"""If Harris' resume came across my desk and I was able to interview her (...) I would hire her in a heartbeat,"" said Dwight McKissic.",Newsweek,newsweek,Positive,
Suzanne Blake,Donald Trump Media Shares Halted Amid Sudden and Steep Selloff,The stock for Trump Media & Technology Group Corp stood at $34.35 per share Tuesday afternoon.,Newsweek,newsweek,Neutral,
Jordan King,US Drinking Water Could Change Dramatically Under Donald Trump,Newsweek looks at what Donald Trump has said about removing fluoride from public water and PFAS regulations.,Newsweek,newsweek,Neutral,
Maya Mehrara,Putin Congratulated Donald Trump on Win Through 'Mutual Friends': Report,"Kremlin spokesman Dmitry Peskov said what happens next between U.S. and Russian relations, ""depends on the American leadership.""",Newsweek,newsweek,Neutral,
Adeola Adeosun,Joe Rogan Endorses Donald Trump Night Before Election,He attributed his endorsement to Elon Musk.,Newsweek,newsweek,Neutral,Elections and Campaigns
Alice Gibbs,Can Donald Trump Run for President Again in 2028?,"As Donald Trump declares victory in the 2024 presidential election, making him both the 45th and 47th president of the U.S., can he run again in 2028?",Newsweek,newsweek,Neutral,Elections and Campaigns
Joe Edwards,Donald Trump Ally Outlines First Priority Once He Assumes Office,"Marco Rubio told CNN on Wednesday what he believes will be the Trump administration's ""number one priority"" with regards to immigration.",Newsweek,newsweek,Neutral,Immigration
Monica Sager,"Who Is Winning North Carolina? Donald Trump, Kamala Harris Updates",Both candidates are hoping to earn 16 electoral votes for winning one of the battleground states.,Newsweek,newsweek,Positive,Elections and Campaigns
Martha McHardy,Barack Obama Voters Are Donald Trump Supporters Now,"According to exit poll data, the Democrats are now the preferred party of higher-income, college-educated voters.",Newsweek,newsweek,Neutral,Elections and Campaigns
Rachel Dobkin,Robot Dogs Deployed to Guard Donald Trump After Assassination Plots,The U.S. Secret Service is using robot surveillance dogs to patrol the president-elect's home.,Newsweek,newsweek,Negative,
Martha McHardy,Donald Trump Gets Warning Sign Among White Voters in Pennsylvania,"With the national race tight, Trump's narrowing base of white voters in Pennsylvania could jeopardize his path to victory there.",Newsweek,newsweek,Negative,Elections and Campaigns
Kaitlin Lewis,New Conservative Poll Shows Key Shift for Donald Trump,"Trump has improved on his lead in Georgia, according to a new Rasmussen Reports survey.",Newsweek,newsweek,Positive,
Rachel Dobkin,Donald Trump Files Lawsuit Against CBS News: What We Know,Trump's lawsuit filed Thursday alleges that CBS News' 60 Minutes interview with Kamala Harris misled the public.,Newsweek,newsweek,Neutral,Legal Issues
Monica Sager,"Donald Trump Will Win in 'Landslide,' Ex-Clinton Adviser Predicts",Dick Morris shared on Thursday on how he thinks the former president will secure his way to the White House in next week's election.,Newsweek,newsweek,Positive,Elections and Campaigns
Dan Gooding,"Donald Trump Could Break Records in Six States, Polls Show","In traditionally red states, some people are voting for the first time in years, which could break records set when Reagan ran.",Newsweek,newsweek,Positive,
Emma Marsden,Donald Trump Erases Kamala Harris' Lead in Final Pennsylvania Poll,"Pennsylvania, which has 19 electoral votes, is pivotal in securing victory in next week's presidential election.",Newsweek,newsweek,Positive,Elections and Campaigns
Kaitlin Lewis,"Donald Trump Closing Gap With Hispanic Voters, New Polling Shows",The former president is continuing to make inroads among the key voting bloc.,Newsweek,newsweek,Neutral,Elections and Campaigns
Kaitlin Lewis,New Conservative Poll Shows Key Shift for Donald Trump,"Trump has improved on his lead in Georgia, according to a new Rasmussen Reports survey.",Newsweek,newsweek,Positive,
Rachel Dobkin,Donald Trump Files Lawsuit Against CBS News: What We Know,Trump's lawsuit filed Thursday alleges that CBS News' 60 Minutes interview with Kamala Harris misled the public.,Newsweek,newsweek,Neutral,Legal Issues
Katherine Fung,Donald Trump Gets Good News From 'Gold Standard' Wisconsin Poll,The race in Wisconsin has narrowed with less than a week to go before Election Day.,Newsweek,newsweek,Negative,Elections and Campaigns
Ewan Palmer,Donald Trump Attacked in Pennsylvania's Largest Newspaper on Election Day,"The Philadelphia Inquirer has endorsed Kamala Harris and said Trump has ""demonstrated he is unfit"" for another term in office.",Newsweek,newsweek,Neutral,Elections and Campaigns
Shane Croucher,What Was Donald Trump Campaign's Best Decision? Strategists Weigh in,Donald Trump is on course to win the popular vote and sweep the swing states in 2024.,Newsweek,newsweek,Positive,Elections and Campaigns
Theo Burman,How President Donald Trump Could Make Elon Musk Richer,"On the cusp of his election victory Wednesday, Donald Trump called Elon Musk ""a special guy"" and ""a super-genius"" who had to be protected.",Newsweek,newsweek,Positive,Elections and Campaigns
Sophie Clark,George W. Bush Reacts to Donald Trump Winning Election,Former President Bush declined to endorse either Trump or Kamala Harris before the results were known.,Newsweek,newsweek,Neutral,Elections and Campaigns
Giulia Carbonaro,San Francisco Just Elected Its Own Donald Trump,"In a shock to San Francisco, Mayor London Breed has been ousted by Daniel Lurie, heir to the Levi Strauss fortune.",Newsweek,newsweek,Neutral,
Aila Slisco,Donald Trump Hasn't Posted on Truth Social Since Winning Election,The president-elect's account on X (formerly Twitter) has also fallen silent.,Newsweek,newsweek,Neutral,"Elections and Campaigns, Social Media and Influence"
Katherine Fung,Maybe Joe Biden Was Right: He Could've Beaten Donald Trump,"The president was the only Democrat to ever defeat Trump at the ballot box, and will remain so.",Newsweek,newsweek,Neutral,
Suzanne Blake,What Donald Trump Win Means for Social Security,Social Security currently faces a funding crisis that would see benefits slashed by roughly 20 percent by as early as 2035.,Newsweek,newsweek,Positive,
Jon Jackson,What Did Donald Trump Say to Kamala Harris?,The vice president called Trump on Wednesday to concede the presidential election.,Newsweek,newsweek,Neutral,Elections and Campaigns
Ewan Palmer,Nikki Haley Responds After Donald Trump Rules Out Administration Role,The former U.S. ambassador to the United Nations was Trump's last remaining challenger in the 2024 GOP primary.,Newsweek,newsweek,Positive,
Sean O'Driscoll,Jack Smith Will Resign Before Donald Trump Fires Him—Analysts,"President-elect Trump has vowed to fire the special counsel ""within two seconds"" of his inauguration.",Newsweek,newsweek,Positive,
Maya Mehrara,Donald Trump Discusses North Korean Troops With World Leaders,Newly elected President Donald Trump spoke to South Korea on the telephone about the deployment of North Korean troops in Russia.,Newsweek,newsweek,Positive,
Ellie Cook,NATO Minister Issues Warning After Donald Trump Victory,"""Poland's leadership will rise to the occasion,"" Warsaw's foreign minister, Radoslaw Sikorski, said on Wednesday.",Newsweek,newsweek,Negative,Legal Issues
Martha McHardy,Donald Trump Just Created Five New Swing States for 2028,Exit polls suggest that Republicans could take more states from Democrats in 2028 after Trump flipped 6 of the 2024 swing states.,Newsweek,newsweek,Positive,
Sonam Sheth,Can Democrats Replace Sonia Sotomayor Before Donald Trump Takes Office?,"At 70, Sonia Sotomayor is the oldest liberal justice on the U.S. Supreme Court.",Newsweek,newsweek,Neutral,Legal Issues
Jordan King,US Allies Awkwardly Walk Back Past Comments About Donald Trump,"President-elect is congratulated by politicians, one of whom called him a ""neo-Nazi-sympathising sociopath.""",Newsweek,newsweek,Neutral,
Jordan King,Secret Service Ramps Up Donald Trump Security Before Inauguration,"The Secret Service told Newsweek it would maintain the ""heightened"" protection Trump has been receiving, while ""enhancing"" other security measures.",Newsweek,newsweek,Negative,
Kaitlin Lewis,Donald Trump Appears Just as 'Chaotic' Amid Staff Appointments: Bolton,"Bolton, Trump's former national security adviser, has been highly critical of the president-elect since leaving his position in 2019.",Newsweek,newsweek,Neutral,
Adeola Adeosun,Mary Trump Predicts What Donald Trump Will Do on Election Night,The former president's estranged niece warns he'll declare premature victory and incite unrest if the election results show him trailing.,Newsweek,newsweek,Neutral,Elections and Campaigns
Rachel Dobkin,Donald Trump Demands Republicans Break With Senate Tradition,Trump suggested on Sunday bypassing Senate confirmation of his political appointments through the use of recess appointments.,Newsweek,newsweek,Neutral,Politics and Governance
Billie Schwab Dunn,Rachel Zegler Issues Foulmouthed Tirade Against Donald Trump,"The actor, who rose to fame in Steven Spielberg's ""West Side Story"" remake, is starring in ""Romeo + Juliet"" on Broadway.",Newsweek,newsweek,Positive,
Billal Rahman,Five Things Donald Trump Has Said About Mexican Cartels,"Trump has said that the U.S.-Mexico border is ""wide open"" to criminal gangs and has promised to ""wage war"" on drug cartels.",Newsweek,newsweek,Negative,Immigration
